"usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
0.822,0.483,98.671,0.023,0.000,0.001,2700292096.0,427241472.0,10019233792.0,1.2200976384e+11
0.344,0.094,99.562,0.0,0.0,0.0,2701107200.0,427241472.0,10019258368.0,1.2200892416e+11
0.063,0.031,99.875,0.031,0.0,0.0,2701230080.0,427241472.0,10019262464.0,1.22008797184e+11
0.031,0.0,99.969,0.0,0.0,0.0,2701344768.0,427241472.0,10019278848.0,1.22008666112e+11
0.0,0.063,99.937,0.0,0.0,0.0,2700820480.0,427241472.0,10019287040.0,1.22009182208e+11
0.031,0.031,99.937,0.0,0.0,0.0,2700492800.0,427241472.0,10019287040.0,1.22009509888e+11
0.063,0.031,99.906,0.0,0.0,0.0,2700881920.0,427241472.0,10019287040.0,1.22009120768e+11
0.188,0.094,99.719,0.0,0.0,0.0,2700349440.0,427241472.0,10019303424.0,1.22009636864e+11
0.156,0.031,99.812,0.0,0.0,0.0,2700288000.0,427241472.0,10019303424.0,1.22009698304e+11
0.219,0.094,99.687,0.0,0.0,0.0,2700472320.0,427241472.0,10019307520.0,1.22009509888e+11
0.0,0.0,100.0,0.0,0.0,0.0,2700472320.0,427241472.0,10019307520.0,1.22009509888e+11
0.251,0.031,99.718,0.0,0.0,0.0,2700349440.0,427241472.0,10019307520.0,1.22009632768e+11
0.407,0.063,99.499,0.031,0.0,0.0,2701893632.0,427241472.0,10019307520.0,1.22008088576e+11
1.659,1.221,96.869,0.0,0.0,0.250,2705879040.0,427245568.0,10047811584.0,1.21975595008e+11
4.079,1.255,94.572,0.0,0.0,0.094,2720628736.0,427253760.0,10075656192.0,1.21932992512e+11
6.845,2.208,90.221,0.379,0.0,0.347,2825506816.0,427274240.0,10161922048.0,1.21741828096e+11
5.713,2.557,90.720,0.410,0.0,0.600,2904682496.0,427294720.0,10299367424.0,1.2152518656e+11
4.412,3.687,91.585,0.095,0.0,0.221,2938679296.0,427302912.0,10362789888.0,1.21427759104e+11
6.140,1.984,91.373,0.0,0.0,0.504,2939691008.0,427319296.0,10480902144.0,1.21308618752e+11
7.109,4.152,88.204,0.031,0.0,0.503,2968199168.0,427335680.0,10561048576.0,1.21199947776e+11
10.932,3.160,84.297,0.664,0.0,0.948,3118592000.0,427352064.0,10680107008.0,1.20930480128e+11
13.759,4.639,78.678,2.224,0.0,0.699,3369447424.0,427397120.0,10795986944.0,1.20563699712e+11
15.387,2.538,80.520,1.015,0.0,0.539,3572535296.0,427417600.0,10913222656.0,1.20243355648e+11
11.083,4.754,77.960,5.384,0.0,0.819,3676069888.0,427425792.0,11025760256.0,1.20027275264e+11
13.182,3.374,82.214,0.946,0.0,0.284,3870769152.0,427458560.0,11138322432.0,1.19719981056e+11
10.435,2.995,82.156,4.130,0.0,0.284,3965173760.0,427466752.0,11193065472.0,1.19570825216e+11
6.167,2.297,75.551,15.985,0.0,0.0,4014010368.0,427470848.0,11193901056.0,1.19521148928e+11
10.318,4.026,78.735,6.920,0.0,0.0,4393119744.0,427499520.0,11190259712.0,1.19145652224e+11
12.020,1.605,84.424,1.919,0.0,0.031,4596957184.0,427515904.0,11190644736.0,1.18941413376e+11
11.616,0.821,84.754,2.809,0.0,0.0,4779347968.0,427524096.0,11190657024.0,1.18759002112e+11
11.045,0.787,85.400,2.738,0.0,0.031,4940091392.0,427524096.0,11191140352.0,1.1859777536e+11
11.356,0.978,86.088,1.577,0.0,0.0,4976734208.0,427524096.0,11191185408.0,1.18561087488e+11
11.843,0.724,85.449,1.984,0.0,0.0,4946276352.0,427524096.0,11191136256.0,1.18591594496e+11
10.535,1.069,86.415,1.950,0.0,0.031,4383584256.0,427528192.0,11190530048.0,1.19154888704e+11
5.845,0.786,91.735,1.634,0.0,0.0,4083544064.0,427528192.0,11189882880.0,1.19455576064e+11
5.521,1.104,92.303,1.073,0.0,0.0,3517591552.0,427528192.0,11189829632.0,1.20021581824e+11
4.931,0.848,93.185,1.036,0.0,0.0,3418472448.0,427528192.0,11188436992.0,1.20122093568e+11
4.089,0.535,94.747,0.629,0.0,0.0,2763452416.0,427528192.0,11188547584.0,1.20777003008e+11
3.688,0.250,96.062,0.0,0.0,0.0,2764283904.0,427528192.0,11187929088.0,1.20776790016e+11
0.689,0.345,98.966,0.0,0.0,0.0,2762002432.0,427536384.0,11185684480.0,1.20781307904e+11
0.125,0.094,99.781,0.0,0.0,0.0,2760454144.0,427536384.0,11185172480.0,1.20783368192e+11
0.219,0.125,99.656,0.0,0.0,0.0,2760736768.0,427536384.0,11185176576.0,1.20783081472e+11
1.971,0.344,97.654,0.0,0.0,0.031,2760634368.0,427536384.0,11184832512.0,1.20783527936e+11
0.563,0.188,99.250,0.0,0.0,0.0,2760282112.0,427536384.0,11184840704.0,1.20783872e+11
2.006,0.564,97.398,0.0,0.0,0.031,2759655424.0,427536384.0,11184844800.0,1.20784494592e+11
0.094,0.031,99.875,0.0,0.0,0.0,2758995968.0,427536384.0,11184857088.0,1.2078514176e+11
0.250,0.125,99.625,0.0,0.0,0.0,2758774784.0,427536384.0,11184881664.0,1.20785338368e+11
0.188,0.063,99.718,0.031,0.0,0.0,2757701632.0,427536384.0,11184889856.0,1.20786403328e+11
0.407,0.063,99.531,0.0,0.0,0.0,2757586944.0,427536384.0,11184902144.0,1.20786505728e+11
0.282,0.031,99.687,0.0,0.0,0.0,2757795840.0,427536384.0,11184959488.0,1.20786239488e+11
0.469,0.125,98.624,0.719,0.0,0.063,2756587520.0,427536384.0,11184959488.0,1.20787447808e+11
