"total cpu usage",,,,,,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
0.822,0.483,98.671,0.023,0.000,0.001,2709024768.0,426340352.0,10015555584.0,1.22005610496e+11
0.187,0.0,99.813,0.0,0.0,0.0,2708697088.0,426340352.0,10015555584.0,1.22005938176e+11
0.156,0.125,99.719,0.0,0.0,0.0,2708652032.0,426340352.0,10015559680.0,1.22005979136e+11
0.125,0.063,99.812,0.0,0.0,0.0,2708389888.0,426340352.0,10015559680.0,1.2200624128e+11
0.031,0.063,99.906,0.0,0.0,0.0,2708267008.0,426340352.0,10015559680.0,1.2200636416e+11
0.219,0.094,99.688,0.0,0.0,0.0,2707554304.0,426340352.0,10015567872.0,1.22007068672e+11
0.094,0.031,99.875,0.0,0.0,0.0,2707062784.0,426340352.0,10015567872.0,1.22007560192e+11
0.094,0.0,99.906,0.0,0.0,0.0,2706948096.0,426340352.0,10015567872.0,1.2200767488e+11
0.063,0.031,99.906,0.0,0.0,0.0,2707210240.0,426340352.0,10015567872.0,1.22007412736e+11
0.0,0.0,99.374,0.626,0.0,0.0,2706567168.0,426340352.0,10015567872.0,1.22008055808e+11
0.063,0.063,99.875,0.0,0.0,0.0,2706247680.0,426340352.0,10015571968.0,1.220083712e+11
0.063,0.0,99.937,0.0,0.0,0.0,2705993728.0,426340352.0,10015571968.0,1.22008625152e+11
0.063,0.031,99.906,0.0,0.0,0.0,2705604608.0,426340352.0,10015571968.0,1.22009014272e+11
0.438,0.063,99.499,0.0,0.0,0.0,2705281024.0,426340352.0,10015571968.0,1.22009337856e+11
1.628,0.376,97.996,0.0,0.0,0.0,2716700672.0,426340352.0,10015576064.0,1.21997914112e+11
2.787,1.002,96.210,0.0,0.0,0.0,2720579584.0,426356736.0,10015580160.0,1.2199401472e+11
3.824,1.912,94.263,0.0,0.0,0.0,2722103296.0,426373120.0,10043916288.0,1.21964138496e+11
6.648,2.854,90.436,0.063,0.0,0.0,2784333824.0,426389504.0,10044502016.0,1.21901305856e+11
7.552,3.461,88.924,0.031,0.0,0.031,2859626496.0,426397696.0,9909268480.0,1.21961238528e+11
10.491,4.852,84.657,0.0,0.0,0.0,2763612160.0,426610688.0,9967534080.0,1.21998774272e+11
11.499,5.184,83.255,0.031,0.0,0.031,2783002624.0,426668032.0,10242723840.0,1.21704136704e+11
11.815,6.679,79.868,1.512,0.0,0.126,2991656960.0,426680320.0,10441404416.0,1.21296789504e+11
14.476,9.556,70.286,5.587,0.0,0.095,3379875840.0,426766336.0,10440953856.0,1.20908935168e+11
14.810,10.475,74.430,0.222,0.0,0.063,3620462592.0,426811392.0,10610503680.0,1.20498753536e+11
11.973,8.489,76.338,3.073,0.0,0.127,3665653760.0,426827776.0,10622439424.0,1.2044161024e+11
13.151,8.767,75.064,2.922,0.0,0.095,3805597696.0,426897408.0,10441265152.0,1.20482770944e+11
12.200,6.732,80.689,0.316,0.0,0.063,3691749376.0,426930176.0,10314403840.0,1.20723447808e+11
15.011,7.617,75.468,1.714,0.0,0.190,3924344832.0,426979328.0,10218295296.0,1.20586911744e+11
17.699,6.546,73.657,2.034,0.0,0.064,4223033344.0,427028480.0,10218541056.0,1.2028792832e+11
17.058,5.644,72.353,4.914,0.0,0.032,4213731328.0,427048960.0,10132107264.0,1.20383643648e+11
16.193,4.040,76.042,3.630,0.0,0.095,4544552960.0,427098112.0,10120183808.0,1.2006469632e+11
15.294,3.325,78.942,2.375,0.0,0.063,4722917376.0,427106304.0,10121404416.0,1.19885103104e+11
14.816,2.108,82.133,0.944,0.0,0.0,4574179328.0,427126784.0,10121396224.0,1.20033828864e+11
12.669,1.918,83.056,2.358,0.0,0.0,4436619264.0,427126784.0,9988771840.0,1.20304013312e+11
12.210,1.789,83.114,2.856,0.0,0.031,4717477888.0,427151360.0,10023501824.0,1.19988400128e+11
11.703,1.703,85.016,1.577,0.0,0.0,4857921536.0,427175936.0,10023555072.0,1.19847878656e+11
9.921,1.390,86.540,2.148,0.0,0.0,4962385920.0,427180032.0,10023575552.0,1.19743389696e+11
9.203,0.819,87.803,2.175,0.0,0.0,4912881664.0,427184128.0,10023653376.0,1.19792812032e+11
11.090,1.008,86.358,1.512,0.0,0.032,4361838592.0,427184128.0,10023604224.0,1.20343904256e+11
8.375,0.945,88.822,1.858,0.0,0.0,4068036608.0,427188224.0,10023444480.0,1.20637861888e+11
6.530,1.073,91.356,1.041,0.0,0.0,3669135360.0,427188224.0,10022805504.0,1.21037402112e+11
5.955,0.977,92.376,0.693,0.0,0.0,3479744512.0,427188224.0,10022121472.0,1.21227476992e+11
4.983,0.788,93.504,0.725,0.0,0.0,3381678080.0,427188224.0,10021486592.0,1.21326178304e+11
3.047,0.503,96.356,0.094,0.0,0.0,2732773376.0,427188224.0,10020843520.0,1.2197572608e+11
2.379,0.313,97.308,0.0,0.0,0.0,2727673856.0,427188224.0,10019332096.0,1.21982337024e+11
0.907,0.188,98.906,0.0,0.0,0.0,2727321600.0,427188224.0,10018226176.0,1.219837952e+11
0.281,0.187,99.532,0.0,0.0,0.0,2728529920.0,427188224.0,10017726464.0,1.21983086592e+11
0.031,0.031,99.937,0.0,0.0,0.0,2727747584.0,427188224.0,10017726464.0,1.21983868928e+11
0.250,0.125,99.624,0.0,0.0,0.0,2726850560.0,427188224.0,10017726464.0,1.21984765952e+11
0.031,0.031,99.937,0.0,0.0,0.0,2726588416.0,427188224.0,10017726464.0,1.21985028096e+11
0.188,0.063,99.750,0.0,0.0,0.0,2725605376.0,427188224.0,10017726464.0,1.21986011136e+11
